Health_Metric,School_Metric,R_Squared,File,N_Counties
% Uninsured,COLLEGE_PER_10K,0.6202167077751356,uninsured.csv,12
Homicide Rate,MIDDLE_PER_10K,0.6173496572896411,homicides.csv,12
% Long Commute - Drives Alone,PRIMARY_PER_10K,0.6165462463739312,long_commute__driving_alone.csv,13
Years of Potential Life Lost Rate,SCHOOLS_PER_10K,0.6160878801241811,premature_death.csv,13
% Uninsured,PRIMARY_PER_10K,0.616040709975749,uninsured.csv,13
% LBW (Hispanic),PRIMARY_PER_10K,0.6108913474881399,low_birthweight.csv,13
% With Access to Exercise Opportunities,PRIMARY_PER_10K,0.6092368449944647,access_to_exercise_opportunities.csv,13
% LBW (Hispanic),SCHOOLS_PER_10K,0.6087570362944479,low_birthweight.csv,13
% Vaccinated (Black),MIDDLE_PER_10K,0.6085834599054869,flu_vaccinations.csv,10
% With Access to Exercise Opportunities,SCHOOLS_PER_10K,0.6082029212088391,access_to_exercise_opportunities.csv,13
% Severe Housing Problems,PRIMARY_PER_10K,0.6069456348691694,severe_housing_problems.csv,13
Preventable Hospitalization Rate,COLLEGE_PER_10K,0.6065959752145849,preventable_hospital_stays.csv,12
% With Annual Mammogram,MIDDLE_PER_10K,0.6036275533191999,mammography_screening.csv,13
Suicide Rate (White),MIDDLE_PER_10K,0.6016640524423011,suicides.csv,12
% Non-Hispanic White,COLLEGE_PER_10K,0.600112766253369,demographics.csv,12
% Severe Housing Problems,COLLEGE_PER_10K,0.5976340593198851,severe_housing_problems.csv,12
% Adults with Obesity,CHARTER_PER_10K,0.5965506187625973,adult_obesity.csv,11
% Vaccinated (Asian),COLLEGE_PER_10K,0.5930057038047585,flu_vaccinations.csv,10
Preventable Hospitalization Rate,SCHOOLS_PER_10K,0.5921140143205481,preventable_hospital_stays.csv,13
% With Access to Exercise Opportunities,COLLEGE_PER_10K,0.5911644160691178,access_to_exercise_opportunities.csv,12
Suicide Rate (White),COLLEGE_PER_10K,0.589197570934356,suicides.csv,12
% With Annual Mammogram,COLLEGE_PER_10K,0.5890320123814073,mammography_screening.csv,12
% Long Commute - Drives Alone,SCHOOLS_PER_10K,0.5885624034267751,long_commute__driving_alone.csv,13
% Vaccinated (White),COLLEGE_PER_10K,0.5855751372960533,flu_vaccinations.csv,12
% Uninsured,SCHOOLS_PER_10K,0.5840173726288531,uninsured_adults.csv,13
% Screened (White),COLLEGE_PER_10K,0.5830457790925079,mammography_screening.csv,12
Preventable Hospitalization Rate,PRIMARY_PER_10K,0.5714636422123759,preventable_hospital_stays.csv,13
Firearm Fatalities Rate (White),COLLEGE_PER_10K,0.5682608782661738,firearm_fatalities.csv,12
% Smokers,SCHOOLS_PER_10K,0.5640838004659608,adult_smoking.csv,13
Injury Death Rate (AIAN),COLLEGE_PER_10K,0.5593366851735118,injury_deaths.csv,11
% Vaccinated (White),SCHOOLS_PER_10K,0.556872085794633,flu_vaccinations.csv,13
Teen Birth Rate,MIDDLE_PER_10K,0.5554469939260098,teen_births.csv,13
% Hispanic,CHARTER_PER_10K,0.5506625081363061,demographics.csv,11
Juvenile Arrest Rate,SCHOOLS_PER_10K,0.5503443374584448,juvenile_arrests.csv,13
% Vaccinated (AIAN),PRIMARY_PER_10K,0.5485772610899813,flu_vaccinations.csv,12
% Female,CHARTER_PER_10K,0.5479324840148808,demographics.csv,11
Social Association Rate,COLLEGE_PER_10K,0.5473649699382948,social_associations.csv,12
% Vaccinated (White),PRIMARY_PER_10K,0.5465734285891981,flu_vaccinations.csv,13
% Smokers,PRIMARY_PER_10K,0.5451962613467334,adult_smoking.csv,13
% Severe Housing Problems,SCHOOLS_PER_10K,0.545173531940546,severe_housing_problems.csv,13
% Vaccinated (AIAN),COLLEGE_PER_10K,0.5415196192200789,flu_vaccinations.csv,12
Firearm Fatalities Rate (White),PRIMARY_PER_10K,0.5405291713915025,firearm_fatalities.csv,12
Child Mortality Rate (White),SCHOOLS_PER_10K,0.5404891883647798,child_mortality.csv,10
% Vaccinated,COLLEGE_PER_10K,0.5393297130098837,flu_vaccinations.csv,12
Child Mortality Rate (White),MIDDLE_PER_10K,0.538369471461539,child_mortality.csv,10
% Uninsured,SCHOOLS_PER_10K,0.5383671789114672,uninsured.csv,13
% Insufficient Sleep,COLLEGE_PER_10K,0.5373398283658551,insufficient_sleep.csv,12
HIV Prevalence Rate,COLLEGE_PER_10K,0.5369303953555198,hiv_prevalence.csv,12
Years of Potential Life Lost Rate,PRIMARY_PER_10K,0.5350896380976677,premature_death.csv,13
Drug Overdose Mortality Rate (Hispanic),SCHOOLS_PER_10K,0.5307914247523717,drug_overdose_deaths.csv,10
Suicide Rate (White),SCHOOLS_PER_10K,0.5290623789647929,suicides.csv,12
Age-Adjusted Death Rate,SCHOOLS_PER_10K,0.5277297341663031,premature_ageadjusted_mortality.csv,13
Child Mortality Rate,PRIMARY_PER_10K,0.5268792375548741,child_mortality.csv,12
Injury Death Rate,SCHOOLS_PER_10K,0.5248298643495788,injury_deaths.csv,13
Child Mortality Rate (White),PRIMARY_PER_10K,0.5217265759443452,child_mortality.csv,10
Injury Death Rate,PRIMARY_PER_10K,0.5182178440616168,injury_deaths.csv,13
% Single-Parent Households,SCHOOLS_PER_10K,0.5142457370811939,children_in_singleparent_households.csv,13
% Vaccinated (AIAN),SCHOOLS_PER_10K,0.5140623316225394,flu_vaccinations.csv,12
Firearm Fatalities Rate (White),SCHOOLS_PER_10K,0.5140362698765852,firearm_fatalities.csv,12
% Rural,COLLEGE_PER_10K,0.5087968402400219,demographics.csv,12
% Insufficient Sleep,SCHOOLS_PER_10K,0.5065023407532712,insufficient_sleep.csv,13
Mental Health Provider Rate,CHARTER_PER_10K,0.5051515989555758,mental_health_providers.csv,11
% Unemployed,CHARTER_PER_10K,0.5046847749657581,unemployment.csv,11
Suicide Rate (Hispanic),MIDDLE_PER_10K,0.5036422713985722,suicides.csv,10
Motor Vehicle Mortality Rate,MIDDLE_PER_10K,0.5030180370683168,motor_vehicle_crash_deaths.csv,13
Juvenile Arrest Rate,PRIMARY_PER_10K,0.5011294699451128,juvenile_arrests.csv,13
% Driving Deaths with Alcohol Involvement,CHARTER_PER_10K,0.4940479282646665,alcoholimpaired_driving_deaths.csv,11
Suicide Rate (White),PRIMARY_PER_10K,0.48983070616961877,suicides.csv,12
HIV Prevalence Rate,SCHOOLS_PER_10K,0.48743290486213964,hiv_prevalence.csv,13
% Single-Parent Households,PRIMARY_PER_10K,0.4869688218191349,children_in_singleparent_households.csv,13
% Severe Housing Cost Burden,COLLEGE_PER_10K,0.4811200521557819,severe_housing_cost_burden.csv,12
% Vaccinated,PRIMARY_PER_10K,0.4784641759447359,flu_vaccinations.csv,13
% Enrolled in Free or Reduced Lunch,COLLEGE_PER_10K,0.47606619631122327,children_eligible_for_free_or_reduced_price_lunch.csv,12
% Asian,MIDDLE_PER_10K,0.4639983377426974,demographics.csv,13
Child Mortality Rate,COLLEGE_PER_10K,0.45997514340397294,child_mortality.csv,12
% Uninsured,PRIMARY_PER_10K,0.45976474443184534,uninsured_children.csv,13
% Vaccinated,MIDDLE_PER_10K,0.45573548761075977,flu_vaccinations.csv,13
% Vaccinated (Black),PRIMARY_PER_10K,0.4543707324237325,flu_vaccinations.csv,10
% Insufficient Sleep,PRIMARY_PER_10K,0.4510812829815818,insufficient_sleep.csv,13
% Some College,CHARTER_PER_10K,0.44880135494630424,some_college.csv,11
Teen Birth Rate (AIAN),CHARTER_PER_10K,0.44861999383933293,teen_births.csv,10
% Insufficient Sleep,CHARTER_PER_10K,0.4481977821655513,insufficient_sleep.csv,11
% Vaccinated (Black),COLLEGE_PER_10K,0.44522563227565193,flu_vaccinations.csv,10
High School Graduation Rate,PRIMARY_PER_10K,0.4443877321310913,high_school_graduation.csv,13
% Non-Hispanic White,PRIMARY_PER_10K,0.4442573510871385,demographics.csv,13
Age-Adjusted Death Rate,PRIMARY_PER_10K,0.44090664363848087,premature_ageadjusted_mortality.csv,13
Drug Overdose Mortality Rate (White),MIDDLE_PER_10K,0.4395252418722142,drug_overdose_deaths.csv,11
% Not Proficient in English,CHARTER_PER_10K,0.4384816937091671,demographics.csv,11
Chlamydia Rate,COLLEGE_PER_10K,0.43491479901698105,sexually_transmitted_infections.csv,12
% Vaccinated,SCHOOLS_PER_10K,0.4321554697276845,flu_vaccinations.csv,13
YPLL Rate (Hispanic),SCHOOLS_PER_10K,0.4295725169037349,premature_death.csv,12
Teen Birth Rate (White),MIDDLE_PER_10K,0.4292883917153517,teen_births.csv,13
% Screened (Asian),PAROCHIAL_PER_10K,0.4287415751290875,mammography_screening.csv,10
% Drive Alone (AIAN),MIDDLE_PER_10K,0.42750422991956216,driving_alone_to_work.csv,11
Drug Overdose Mortality Rate (White),PAROCHIAL_PER_10K,0.42561675430633994,drug_overdose_deaths.csv,11
Child Mortality Rate (White),PAROCHIAL_PER_10K,0.42533374235276,child_mortality.csv,10
% Adults with Diabetes,COLLEGE_PER_10K,0.4236989055994005,diabetes_prevalence.csv,12
Injury Death Rate,COLLEGE_PER_10K,0.4232619103966694,injury_deaths.csv,12
% Adults with Diabetes,SCHOOLS_PER_10K,0.421174625535629,diabetes_prevalence.csv,13
Firearm Fatalities Rate (White),MIDDLE_PER_10K,0.4205002703995263,firearm_fatalities.csv,12
% Non-Hispanic White,SCHOOLS_PER_10K,0.4204261027620464,demographics.csv,13
YPLL Rate (AIAN),MIDDLE_PER_10K,0.42002708402757627,premature_death.csv,11
% Disconnected Youth,SCHOOLS_PER_10K,0.4186385764194862,disconnected_youth.csv,12
% With Access to Exercise Opportunities,MIDDLE_PER_10K,0.4134802628616048,access_to_exercise_opportunities.csv,13
Social Association Rate,SCHOOLS_PER_10K,0.4124291523409742,social_associations.csv,13
Suicide Rate (Age-Adjusted),MIDDLE_PER_10K,0.40946888896347866,suicides.csv,12
Age-Adjusted Death Rate,MIDDLE_PER_10K,0.4048068295389198,premature_ageadjusted_mortality.csv,13
% Uninsured,SCHOOLS_PER_10K,0.40236301257156204,uninsured_children.csv,13
% less than 18 years of age,COLLEGE_PER_10K,0.40037149224542046,demographics.csv,12
% Drive Alone (AIAN),CHARTER_PER_10K,0.3992849433207435,driving_alone_to_work.csv,10
HIV Prevalence Rate,PRIMARY_PER_10K,0.3986736465892964,hiv_prevalence.csv,13
% less than 18 years of age,PRIMARY_PER_10K,0.39856962987774847,demographics.csv,13
% Native Hawaiian/Other Pacific Islander,MIDDLE_PER_10K,0.39818581062424696,demographics.csv,13
Preventable Hosp. Rate (AIAN),CHARTER_PER_10K,0.39775169034236046,preventable_hospital_stays.csv,10
Years of Potential Life Lost Rate,MIDDLE_PER_10K,0.39736823346882244,premature_death.csv,13
Years of Potential Life Lost Rate,COLLEGE_PER_10K,0.396618819393171,premature_death.csv,12
% Adults with Diabetes,PRIMARY_PER_10K,0.395786768771058,diabetes_prevalence.csv,13
Chlamydia Rate,PRIMARY_PER_10K,0.3957039891053338,sexually_transmitted_infections.csv,13
% Low Birthweight,PAROCHIAL_PER_10K,0.39460410363037735,low_birthweight.csv,12
Drug Overdose Mortality Rate,COLLEGE_PER_10K,0.3924273988448397,drug_overdose_deaths.csv,12
% Asian,SCHOOLS_PER_10K,0.3911687057081904,demographics.csv,13
% Severe Housing Cost Burden,SCHOOLS_PER_10K,0.38433558779529264,severe_housing_cost_burden.csv,13
MV Mortality Rate (White),COLLEGE_PER_10K,0.3839067396846554,motor_vehicle_crash_deaths.csv,12
% Disconnected Youth,MIDDLE_PER_10K,0.3826516412746489,disconnected_youth.csv,12
% Children in Poverty (Hispanic),PAROCHIAL_PER_10K,0.382620361313491,children_in_poverty.csv,12
% Drive Alone (White),CHARTER_PER_10K,0.3797045708819061,driving_alone_to_work.csv,11
Teen Birth Rate (Hispanic),CHARTER_PER_10K,0.3783844252072983,teen_births.csv,11
Injury Death Rate (White),PAROCHIAL_PER_10K,0.37626518336225334,injury_deaths.csv,12
% Drive Alone (AIAN),PRIMARY_PER_10K,0.37530867692092496,driving_alone_to_work.csv,11
% Drive Alone (Hispanic),CHARTER_PER_10K,0.3733237498874229,driving_alone_to_work.csv,11
HIV Prevalence Rate,MIDDLE_PER_10K,0.3727887306146701,hiv_prevalence.csv,13
Chlamydia Rate,SCHOOLS_PER_10K,0.37261087308699414,sexually_transmitted_infections.csv,13
% Disconnected Youth,PRIMARY_PER_10K,0.36969295642408917,disconnected_youth.csv,12
% Insufficient Sleep,PAROCHIAL_PER_10K,0.36799057213044795,insufficient_sleep.csv,12
% Single-Parent Households,COLLEGE_PER_10K,0.3679297884845798,children_in_singleparent_households.csv,12
% Unemployed,COLLEGE_PER_10K,0.36725081124595726,unemployment.csv,12
Teen Birth Rate,SCHOOLS_PER_10K,0.36680592675284196,teen_births.csv,13
% less than 18 years of age,SCHOOLS_PER_10K,0.36607292711058026,demographics.csv,13
% Native Hawaiian/Other Pacific Islander,SCHOOLS_PER_10K,0.3641101381399061,demographics.csv,13
% Severe Housing Cost Burden,PRIMARY_PER_10K,0.3603480433889301,severe_housing_cost_burden.csv,13
Violent Crime Rate,PAROCHIAL_PER_10K,0.35859490520868287,violent_crime.csv,12
% Uninsured,COLLEGE_PER_10K,0.3581925402433259,uninsured_children.csv,12
Injury Death Rate (Hispanic),MIDDLE_PER_10K,0.3568298129434463,injury_deaths.csv,13
% Black,COLLEGE_PER_10K,0.3562337380534706,demographics.csv,12
% Insufficient Sleep,MIDDLE_PER_10K,0.3554660056752027,insufficient_sleep.csv,13
% Vaccinated (Asian),MIDDLE_PER_10K,0.352433568560645,flu_vaccinations.csv,10
Homicide Rate,CHARTER_PER_10K,0.35139714875529016,homicides.csv,11
% less than 18 years of age,CHARTER_PER_10K,0.3510279477839604,demographics.csv,11
Drug Overdose Mortality Rate,SCHOOLS_PER_10K,0.35028792273046594,drug_overdose_deaths.csv,12
% Enrolled in Free or Reduced Lunch,PRIMARY_PER_10K,0.3502577710101984,children_eligible_for_free_or_reduced_price_lunch.csv,13
% Asian,COLLEGE_PER_10K,0.3488706782182469,demographics.csv,12
Suicide Rate (Age-Adjusted),SCHOOLS_PER_10K,0.34859252103643823,suicides.csv,12
Social Association Rate,CHARTER_PER_10K,0.34683596907275205,social_associations.csv,11
High School Graduation Rate,COLLEGE_PER_10K,0.3446204757654261,high_school_graduation.csv,12
% Vaccinated (Hispanic),CHARTER_PER_10K,0.3436368381248506,flu_vaccinations.csv,11
YPLL Rate (White),MIDDLE_PER_10K,0.34331173910730584,premature_death.csv,12
Drug Overdose Mortality Rate (Hispanic),PRIMARY_PER_10K,0.33946415536192787,drug_overdose_deaths.csv,10
High School Graduation Rate,SCHOOLS_PER_10K,0.3390115369918385,high_school_graduation.csv,13
% Long Commute - Drives Alone,MIDDLE_PER_10K,0.3374582098480299,long_commute__driving_alone.csv,13
% Driving Deaths with Alcohol Involvement,MIDDLE_PER_10K,0.32901852813865806,alcoholimpaired_driving_deaths.csv,13
% Excessive Drinking,PAROCHIAL_PER_10K,0.3272051057593923,excessive_drinking.csv,12
% Screened (Asian),SCHOOLS_PER_10K,0.3265751880070026,mammography_screening.csv,10
% Black,MIDDLE_PER_10K,0.3265196964641124,demographics.csv,13
% Screened (Asian),PRIMARY_PER_10K,0.3260611769901033,mammography_screening.csv,10
% Fair or Poor Health,CHARTER_PER_10K,0.3252599221310962,poor_or_fair_health.csv,11
YPLL Rate (AIAN),PAROCHIAL_PER_10K,0.3251079511463172,premature_death.csv,11
% Non-Hispanic White,CHARTER_PER_10K,0.3232000607636283,demographics.csv,11
Teen Birth Rate,CHARTER_PER_10K,0.3174969404356667,teen_births.csv,11
% less than 18 years of age,MIDDLE_PER_10K,0.3142308428813927,demographics.csv,13
Teen Birth Rate (AIAN),SCHOOLS_PER_10K,0.3135476003680896,teen_births.csv,11
Teen Birth Rate (AIAN),PRIMARY_PER_10K,0.3125407560657658,teen_births.csv,11
Child Mortality Rate (White),CHARTER_PER_10K,0.3123341367219252,child_mortality.csv,10
Social Association Rate,PAROCHIAL_PER_10K,0.31211759676059436,social_associations.csv,12
% American Indian & Alaska Native,MIDDLE_PER_10K,0.31163025184632565,demographics.csv,13
YPLL Rate (AIAN),CHARTER_PER_10K,0.31150532454134894,premature_death.csv,10
% LBW (Hispanic),COLLEGE_PER_10K,0.31014096841039096,low_birthweight.csv,12
% Children in Poverty (Hispanic),COLLEGE_PER_10K,0.30775970875291403,children_in_poverty.csv,12
Age-Adjusted Death Rate,COLLEGE_PER_10K,0.30669306379765526,premature_ageadjusted_mortality.csv,12
% Vaccinated (Hispanic),COLLEGE_PER_10K,0.3059095756772614,flu_vaccinations.csv,12
% Smokers,COLLEGE_PER_10K,0.3052040575262335,adult_smoking.csv,12
% Low Birthweight,MIDDLE_PER_10K,0.3037821591187696,low_birthweight.csv,13
% Drive Alone to Work,CHARTER_PER_10K,0.3030284263048295,driving_alone_to_work.csv,11
% Vaccinated (Black),SCHOOLS_PER_10K,0.3022134237893803,flu_vaccinations.csv,10
Drug Overdose Mortality Rate,PRIMARY_PER_10K,0.30125658620830975,drug_overdose_deaths.csv,12
% Enrolled in Free or Reduced Lunch,SCHOOLS_PER_10K,0.3012470321349443,children_eligible_for_free_or_reduced_price_lunch.csv,13
% Black,SCHOOLS_PER_10K,0.30112137194391553,demographics.csv,13
% Frequent Physical Distress,MIDDLE_PER_10K,0.30060758954341105,frequent_physical_distress.csv,13
Mental Health Provider Rate,MIDDLE_PER_10K,0.2992706829551225,mental_health_providers.csv,13
% Vaccinated (Black),PAROCHIAL_PER_10K,0.29845903802120166,flu_vaccinations.csv,10
% Asian,PRIMARY_PER_10K,0.2942920301374633,demographics.csv,13
% Disconnected Youth,CHARTER_PER_10K,0.29386071265282643,disconnected_youth.csv,11
% Native Hawaiian/Other Pacific Islander,PRIMARY_PER_10K,0.29277930233735994,demographics.csv,13
Drug Overdose Mortality Rate,PAROCHIAL_PER_10K,0.29083863808643506,drug_overdose_deaths.csv,12
% Children in Poverty (AIAN),MIDDLE_PER_10K,0.2881551324699706,children_in_poverty.csv,12
% Screened (Asian),COLLEGE_PER_10K,0.28729792445806435,mammography_screening.csv,10
% Disconnected Youth,COLLEGE_PER_10K,0.2862241054268849,disconnected_youth.csv,12
% Homeowners,PRIMARY_PER_10K,0.2843418384825265,homeownership.csv,13
MV Mortality Rate (White),PAROCHIAL_PER_10K,0.2797302348908677,motor_vehicle_crash_deaths.csv,12
% Vaccinated,CHARTER_PER_10K,0.27831820596109047,flu_vaccinations.csv,11
Teen Birth Rate,PRIMARY_PER_10K,0.2758736920574971,teen_births.csv,13
% Low Birthweight,SCHOOLS_PER_10K,0.27524165718496985,low_birthweight.csv,13
YPLL Rate (Hispanic),PRIMARY_PER_10K,0.27438959487767944,premature_death.csv,12
% Hispanic,PRIMARY_PER_10K,0.2721668047670277,demographics.csv,13
Injury Death Rate (Hispanic),SCHOOLS_PER_10K,0.2713424969991661,injury_deaths.csv,13
% Drive Alone (White),PRIMARY_PER_10K,0.2708719326693739,driving_alone_to_work.csv,13
% Adults with Diabetes,MIDDLE_PER_10K,0.2693312416961253,diabetes_prevalence.csv,13
% LBW (Hispanic),MIDDLE_PER_10K,0.2681486373730252,low_birthweight.csv,13
Social Association Rate,PRIMARY_PER_10K,0.26632583406773447,social_associations.csv,13
Teen Birth Rate,COLLEGE_PER_10K,0.26214260052342864,teen_births.csv,12
% Single-Parent Households,MIDDLE_PER_10K,0.25865739335680804,children_in_singleparent_households.csv,13
% Children in Poverty (White),PRIMARY_PER_10K,0.2575342304357138,children_in_poverty.csv,13
Juvenile Arrest Rate,PAROCHIAL_PER_10K,0.2569956435977224,juvenile_arrests.csv,12
Crude Rate,MIDDLE_PER_10K,0.2561295832326824,suicides.csv,12
Teen Birth Rate (Hispanic),MIDDLE_PER_10K,0.25518083849097317,teen_births.csv,13
% LBW (Hispanic),PAROCHIAL_PER_10K,0.2550388837530403,low_birthweight.csv,12
% Children in Poverty (White),SCHOOLS_PER_10K,0.25456608429542504,children_in_poverty.csv,13
Drug Overdose Mortality Rate (Hispanic),COLLEGE_PER_10K,0.2535193827614032,drug_overdose_deaths.csv,10
YPLL Rate (White),PAROCHIAL_PER_10K,0.2530530546062568,premature_death.csv,12
% Driving Deaths with Alcohol Involvement,PRIMARY_PER_10K,0.25030801520620616,alcoholimpaired_driving_deaths.csv,13
Injury Death Rate,CHARTER_PER_10K,0.24982526907299285,injury_deaths.csv,11
% Screened (AIAN),CHARTER_PER_10K,0.24931657726940215,mammography_screening.csv,11
Suicide Rate (Age-Adjusted),PRIMARY_PER_10K,0.2484874355649701,suicides.csv,12
% Single-Parent Households,CHARTER_PER_10K,0.24836371225194442,children_in_singleparent_households.csv,11
% Some College,SCHOOLS_PER_10K,0.2481356556395249,some_college.csv,13
% Non-Hispanic White,MIDDLE_PER_10K,0.2465682485958588,demographics.csv,13
Juvenile Arrest Rate,MIDDLE_PER_10K,0.24579999714521095,juvenile_arrests.csv,13
% Frequent Mental Distress,MIDDLE_PER_10K,0.24537209280346717,frequent_mental_distress.csv,13
Preventable Hosp. Rate (White),SCHOOLS_PER_10K,0.24445415836075557,preventable_hospital_stays.csv,13
% Children in Poverty,MIDDLE_PER_10K,0.24382201058404585,children_in_poverty.csv,13
MV Mortality Rate (White),MIDDLE_PER_10K,0.24274164316318025,motor_vehicle_crash_deaths.csv,12
% Smokers,CHARTER_PER_10K,0.24266011272200516,adult_smoking.csv,11
% Uninsured,CHARTER_PER_10K,0.24253851219417766,uninsured_children.csv,11
Preventable Hosp. Rate (White),MIDDLE_PER_10K,0.23985484708659255,preventable_hospital_stays.csv,13
% Hispanic,SCHOOLS_PER_10K,0.23867282319297523,demographics.csv,13
